DATE/TIME,PIM,STATE,sleep,SW
18/07/2023 00:00,0,1,1,Sleep
18/07/2023 00:01,0,1,1,Sleep
18/07/2023 00:02,0,1,1,Sleep
18/07/2023 00:03,0,1,1,Sleep
18/07/2023 00:04,0,1,1,Sleep
18/07/2023 00:05,0,1,1,Sleep
18/07/2023 00:06,0,1,1,Sleep
18/07/2023 00:07,0,1,1,Sleep
18/07/2023 00:08,17,1,1,Sleep
18/07/2023 00:09,0,1,1,Sleep
18/07/2023 00:10,0,1,1,Sleep
18/07/2023 00:11,0,2,1,Sleep
18/07/2023 00:12,4486,2,1,Sleep
18/07/2023 00:13,406,2,1,Sleep
18/07/2023 00:14,2720,2,1,Sleep
18/07/2023 00:15,363,2,1,Sleep
18/07/2023 00:16,3293,2,1,Sleep
18/07/2023 00:17,0,2,1,Sleep
18/07/2023 00:18,0,2,1,Sleep
18/07/2023 00:19,0,2,1,Sleep
18/07/2023 00:20,0,2,1,Sleep
18/07/2023 00:21,0,1,1,Sleep
18/07/2023 00:22,0,1,1,Sleep
18/07/2023 00:23,0,1,1,Sleep
18/07/2023 00:24,0,1,1,Sleep
18/07/2023 00:25,8,2,1,Sleep
18/07/2023 00:26,2768,2,1,Sleep
18/07/2023 00:27,4,1,1,Sleep
18/07/2023 00:28,43,1,1,Sleep
18/07/2023 00:29,0,1,1,Sleep
18/07/2023 00:30,0,1,1,Sleep
18/07/2023 00:31,0,1,1,Sleep
18/07/2023 00:32,0,1,1,Sleep
18/07/2023 00:33,0,1,1,Sleep
18/07/2023 00:34,0,1,1,Sleep
18/07/2023 00:35,0,1,1,Sleep
18/07/2023 00:36,0,1,1,Sleep
18/07/2023 00:37,0,1,1,Sleep
18/07/2023 00:38,0,1,1,Sleep
18/07/2023 00:39,0,1,1,Sleep
18/07/2023 00:40,0,1,1,Sleep
18/07/2023 00:41,0,1,1,Sleep
18/07/2023 00:42,0,1,1,Sleep
18/07/2023 00:43,4,1,1,Sleep
18/07/2023 00:44,0,1,1,Sleep
18/07/2023 00:45,0,1,1,Sleep
18/07/2023 00:46,4,2,1,Sleep
18/07/2023 00:47,1786,2,1,Sleep
18/07/2023 00:48,5243,2,1,Sleep
18/07/2023 00:49,0,2,1,Sleep
18/07/2023 00:50,0,2,1,Sleep
18/07/2023 00:51,1165,2,1,Sleep
18/07/2023 00:52,860,2,1,Sleep
18/07/2023 00:53,1096,2,1,Sleep
18/07/2023 00:54,9,2,1,Sleep
18/07/2023 00:55,17,2,1,Sleep
18/07/2023 00:56,222,1,1,Sleep
18/07/2023 00:57,23,2,1,Sleep
18/07/2023 00:58,1188,2,1,Sleep
18/07/2023 00:59,230,1,1,Sleep
18/07/2023 01:00,0,1,1,Sleep
18/07/2023 01:01,7,1,1,Sleep
18/07/2023 01:02,0,1,1,Sleep
18/07/2023 01:03,0,1,1,Sleep
18/07/2023 01:04,0,1,1,Sleep
18/07/2023 01:05,0,1,1,Sleep
18/07/2023 01:06,0,1,1,Sleep
18/07/2023 01:07,0,1,1,Sleep
18/07/2023 01:08,0,1,1,Sleep
18/07/2023 01:09,0,1,1,Sleep
18/07/2023 01:10,0,1,1,Sleep
18/07/2023 01:11,0,1,1,Sleep
18/07/2023 01:12,0,1,1,Sleep
18/07/2023 01:13,0,1,1,Sleep
18/07/2023 01:14,0,1,1,Sleep
18/07/2023 01:15,0,1,1,Sleep
18/07/2023 01:16,0,1,1,Sleep
18/07/2023 01:17,0,2,1,Sleep
18/07/2023 01:18,3266,2,1,Sleep
18/07/2023 01:19,5002,2,1,Sleep
18/07/2023 01:20,2566,2,1,Sleep
18/07/2023 01:21,0,2,1,Sleep
18/07/2023 01:22,0,2,1,Sleep
18/07/2023 01:23,0,2,1,Sleep
18/07/2023 01:24,0,2,1,Sleep
18/07/2023 01:25,0,2,1,Sleep
18/07/2023 01:26,0,1,1,Sleep
18/07/2023 01:27,0,1,1,Sleep
18/07/2023 01:28,0,1,1,Sleep
